TSP Prison Population Over Time;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Year; U.S. Total ; Federal ; Alabama ; Alaska ; Arizona ; Arkansas ; California ; Colorado ; Connecticut ; Delaware ; District of Columbia ; Florida ; Georgia ; Hawaii ; Idaho ; Illinois ; Indiana ; Iowa ; Kansas ; Kentucky ; Louisiana ; Maine ; Maryland ; Massachusetts ; Michigan ; Minnesota ; Mississippi ; Missouri ; Montana ; Nebraska ; Nevada ; New Hampshire ; New Jersey ; New Mexico ; New York ; North Carolina ; North Dakota ; Ohio ; Oklahoma ; Oregon ; Pennsylvania ; Rhode Island ; South Carolina ; South Dakota ; Tennessee ; Texas ; Utah ; Vermont ; Virginia ; Washington ; West Virginia ; Wisconsin ; Wyoming 
1976; 262 833 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
1977; 285 456 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
1978; 294 396 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
1979; 301 470 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
1980; 315 974 ; 20 611 ; 6 368 ; 571 ; 4 360 ; 2 911 ; 23 264 ; 2 609 ; 2 750 ; 1 087 ; - ; 20 211 ; 11 922 ; 624 ; 817 ; 10 724 ; 6 281 ; 2 479 ; 2 494 ; 3 588 ; 8 889 ; 671 ; 7 731 ; 3 150 ; 15 124 ; 2 001 ; 3 793 ; 5 726 ; 738 ; 1 402 ; 1 839 ; 326 ; 5 564 ; 1 199 ; 21 639 ; 14 456 ; 185 ; 13 489 ; 4 796 ; 3 172 ; 8 112 ; 611 ; 7 427 ; 609 ; 7 022 ; 29 892 ; 928 ; 342 ; 8 581 ; 4 399 ; 1 257 ; 3 980 ; 534 
1981; 353 673 ; 22 169 ; 7 199 ; 708 ; 5 199 ; 3 297 ; 27 913 ; 2 770 ; 2 995 ; 1 248 ; - ; 23 200 ; 12 377 ; 757 ; 957 ; 12 996 ; 7 559 ; 2 554 ; 2 770 ; 4 167 ; 9 415 ; 806 ; 9 335 ; 3 791 ; 15 157 ; 2 024 ; 4 494 ; 6 489 ; 828 ; 1 640 ; 2 116 ; 398 ; 6 861 ; 1 345 ; 25 599 ; 14 854 ; 218 ; 14 968 ; 5 281 ; 3 292 ; 9 291 ; 689 ; 8 010 ; 662 ; 7 897 ; 31 502 ; 1 126 ; 395 ; 9 013 ; 5 336 ; 1 565 ; 4 416 ; 587 
1982; 395 516 ; 23 652 ; 8 581 ; 872 ; 6 048 ; 3 922 ; 33 583 ; 3 042 ; 3 129 ; 1 513 ; - ; 27 139 ; 14 038 ; 903 ; 1 044 ; 13 949 ; 8 295 ; 2 829 ; 3 078 ; 4 031 ; 10 930 ; 892 ; 11 032 ; 4 238 ; 14 913 ; 2 081 ; 5 359 ; 7 445 ; 914 ; 1 584 ; 2 753 ; 445 ; 7 990 ; 1 447 ; 27 945 ; 15 349 ; 276 ; 17 317 ; 6 500 ; 3 900 ; 10 448 ; 781 ; 8 629 ; 755 ; 7 869 ; 36 149 ; 1 199 ; 435 ; 9 715 ; 6 264 ; 1 547 ; 4 714 ; 702 
1983; 419 346 ; 26 331 ; 9 641 ; 1 072 ; 6 743 ; 4 246 ; 38 025 ; 3 244 ; 3 577 ; 1 579 ; - ; 25 393 ; 14 935 ; 1 065 ; 1 187 ; 15 522 ; 8 973 ; 2 814 ; 3 705 ; 4 773 ; 12 812 ; 861 ; 11 979 ; 4 372 ; 14 510 ; 2 113 ; 5 481 ; 8 103 ; 901 ; 1 551 ; 3 188 ; 479 ; 9 192 ; 1 708 ; 30 510 ; 14 257 ; 350 ; 18 007 ; 7 480 ; 3 952 ; 11 699 ; 878 ; 9 076 ; 808 ; 8 201 ; 35 259 ; 1 261 ; 378 ; 9 855 ; 6 658 ; 1 611 ; 4 845 ; 721 
1984; 443 398 ; 27 602 ; 10 246 ; 1 293 ; 7 646 ; 4 472 ; 41 783 ; 3 231 ; 3 748 ; 1 546 ; - ; 26 759 ; 15 000 ; 1 330 ; 1 253 ; 17 114 ; 9 063 ; 2 836 ; 4 244 ; 4 820 ; 13 659 ; 847 ; 12 442 ; 4 738 ; 14 604 ; 2 167 ; 5 974 ; 8 780 ; 965 ; 1 566 ; 3 488 ; 581 ; 10 363 ; 1 908 ; 33 109 ; 15 219 ; 375 ; 18 619 ; 7 872 ; 4 224 ; 12 998 ; 891 ; 9 281 ; 904 ; 7 302 ; 36 682 ; 1 487 ; 392 ; 10 665 ; 6 821 ; 1 585 ; 4 902 ; 724 
1985; 480 568 ; 32 695 ; 10 749 ; 1 530 ; 8 273 ; 4 611 ; 48 279 ; 3 369 ; 4 326 ; 1 759 ; - ; 28 482 ; 15 115 ; 1 428 ; 1 294 ; 18 634 ; 9 615 ; 2 832 ; 4 732 ; 5 801 ; 13 890 ; 967 ; 12 303 ; 5 390 ; 17 755 ; 2 343 ; 6 208 ; 9 915 ; 1 129 ; 1 733 ; 3 771 ; 683 ; 11 335 ; 2 112 ; 34 712 ; 16 007 ; 375 ; 20 864 ; 8 330 ; 4 454 ; 14 119 ; 964 ; 9 908 ; 1 035 ; 7 127 ; 37 532 ; 1 623 ; 443 ; 11 717 ; 6 909 ; 1 725 ; 5 412 ; 758 
